županija,mjesec,broj dolazaka domaćih turista,broj dolazaka stranih turista,broj noćenja domaćih turista,broj noćenja stranih turista
Krapinsko-zagorska,6,8478,11530,17973,22936
Međimurska,6,5334,4872,11460,11039
Osječko-baranjska,6,9935,6465,17142,13370
Požeško-slavonska,6,1954,1068,3956,2556
Sisačko-moslavačka,6,896,1451,1628,3399
Varaždinska,6,3724,7878,7027,16268
Virovitičko-podravska,6,1141,641,2188,1320
Vukovarsko-srijemska,6,5819,2263,9585,4172
Zagrebačka,6,4265,14528,7348,23313
Istra,7,43945,1067208,228718,7676228
Kvarner,7,81630,637719,654792,4380708
Ličko-senjska,7,13097,172392,127915,918471
Zadarska,7,83839,479665,1232866,3579870
Šibensko-kninska,7,41856,232241,347002,1614251
Splitsko-dalmatinska,7,76438,911219,403304,5313177
Dubrovačko-neretvanska,7,30813,402745,155249,1943191
Grad Zagreb,7,21319,130671,37733,244664
Bjelovarsko-bilogorska,7,1208,1334,3418,5914
Brodsko-posavska,7,1710,5171,3593,7677
Karlovačka,7,5516,57110,12062,101266
Koprivničko-križevačka,7,931,1264,2586,5289
Krapinsko-zagorska,7,6243,17222,15175,41013
Međimurska,7,3863,7630,9031,19917
Osječko-baranjska,7,5589,6403,11921,20532
Požeško-slavonska,7,1157,991,3097,2946
Sisačko-moslavačka,7,828,2273,1985,5471
Varaždinska,7,2978,11672,6437,26424
Virovitičko-podravska,7,940,641,1936,1569
Vukovarsko-srijemska,7,1780,3088,3854,6088
Zagrebačka,7,3669,19690,7702,33453
Istra,8,46354,1177966,255392,8339345
Kvarner,8,91749,707556,760741,4712535
Ličko-senjska,8,14711,187990,145945,971722
Zadarska,8,89387,494916,1368329,3617718
Šibensko-kninska,8,54634,246202,445020,1681823
Splitsko-dalmatinska,8,101973,928708,581951,5357072
Dubrovačko-neretvanska,8,39383,410352,221830,1954070
Grad Zagreb,8,13746,144029,25511,263135
Bjelovarsko-bilogorska,8,1397,1535,3413,7325
Brodsko-posavska,8,1859,6501,3479,9484
Karlovačka,8,6652,73646,15550,151730
Koprivničko-križevačka,8,1218,1624,2524,6010
Krapinsko-zagorska,8,9044,19669,23384,47490
Međimurska,8,5207,8834,11834,25306
Osječko-baranjska,8,6632,6656,13205,15046
Požeško-slavonska,8,2296,1310,5492,3785
Sisačko-moslavačka,8,880,2681,2094,6713
Varaždinska,8,5084,13591,11249,32513
Virovitičko-podravska,8,1277,708,2517,1806
Vukovarsko-srijemska,8,2588,3600,5165,6825
Zagrebačka,8,3726,21452,8106,38052
Istra,9,38218,539813,123317,3824000
Kvarner,9,45025,324379,258812,2002912
Ličko-senjska,9,6848,77870,43282,328578
Zadarska,9,25441,215672,391738,1427592
Šibensko-kninska,9,16937,110839,107114,717214
Splitsko-dalmatinska,9,38212,496708,150902,2648031
Dubrovačko-neretvanska,9,16743,296115,62366,1215939
Grad Zagreb,9,24070,121997,39951,241209
Bjelovarsko-bilogorska,9,1579,919,3781,3599
Brodsko-posavska,9,2700,3630,4716,5908
Karlovačka,9,4362,36932,7476,60694
Koprivničko-križevačka,9,1327,887,2455,2667
Krapinsko-zagorska,9,8375,11189,17367,20813
Međimurska,9,4333,4218,8405,10879
Osječko-baranjska,9,10994,6357,19893,13964
Požeško-slavonska,9,2183,970,4354,2154
Sisačko-moslavačka,9,1141,1493,2255,3861
Varaždinska,9,4624,6155,9113,15143
Virovitičko-podravska,9,1047,672,2042,1370
Vukovarsko-srijemska,9,8118,2621,13298,5349
